Model:CrossDA_MNet, DataSet: BCI2a, Experiment ID: 202605171115
Sub-1, Epoch [36/500], TLoss_C: 1.461886, TLoss_P: 1.354044, TAcc: 0.8993, VLoss_C: 0.191614, VLoss_P: 0.124691, VAcc: 0.7188
Sub-1, Epoch [37/500], TLoss_C: 1.4251, TLoss_P: 1.301334, TAcc: 0.8924, VLoss_C: 0.179058, VLoss_P: 0.14986, VAcc: 0.7257
Sub-1, Epoch [38/500], TLoss_C: 1.477841, TLoss_P: 1.325278, TAcc: 0.8576, VLoss_C: 0.173317, VLoss_P: 0.138123, VAcc: 0.7222
Sub-1, Epoch [39/500], TLoss_C: 1.416439, TLoss_P: 1.277678, TAcc: 0.8819, VLoss_C: 0.166467, VLoss_P: 0.146152, VAcc: 0.7361
Sub-1, Epoch [40/500], TLoss_C: 1.391525, TLoss_P: 1.283017, TAcc: 0.8958, VLoss_C: 0.144524, VLoss_P: 0.134236, VAcc: 0.7222
Sub-1, Epoch [41/500], TLoss_C: 1.457929, TLoss_P: 1.365165, TAcc: 0.8924, VLoss_C: 0.182476, VLoss_P: 0.146699, VAcc: 0.7326
Sub-1, Epoch [42/500], TLoss_C: 1.355556, TLoss_P: 1.297295, TAcc: 0.9062, VLoss_C: 0.164009, VLoss_P: 0.12645, VAcc: 0.7257
Sub-1, Epoch [43/500], TLoss_C: 1.434824, TLoss_P: 1.260675, TAcc: 0.8958, VLoss_C: 0.166261, VLoss_P: 0.131632, VAcc: 0.7361
Sub-1, Epoch [44/500], TLoss_C: 1.353897, TLoss_P: 1.228721, TAcc: 0.8993, VLoss_C: 0.177361, VLoss_P: 0.124896, VAcc: 0.7292
Sub-1, Epoch [45/500], TLoss_C: 1.339393, TLoss_P: 1.224164, TAcc: 0.8958, VLoss_C: 0.181004, VLoss_P: 0.118988, VAcc: 0.7257
Sub-1, Epoch [46/500], TLoss_C: 1.393283, TLoss_P: 1.228099, TAcc: 0.9097, VLoss_C: 0.145233, VLoss_P: 0.122378, VAcc: 0.7431
Sub-1, Epoch [47/500], TLoss_C: 1.338221, TLoss_P: 1.201716, TAcc: 0.8924, VLoss_C: 0.157844, VLoss_P: 0.117756, VAcc: 0.7396
Sub-1, Epoch [48/500], TLoss_C: 1.312334, TLoss_P: 1.171775, TAcc: 0.9028, VLoss_C: 0.152266, VLoss_P: 0.126084, VAcc: 0.75
Sub-1, Epoch [49/500], TLoss_C: 1.275219, TLoss_P: 1.189165, TAcc: 0.9167, VLoss_C: 0.183829, VLoss_P: 0.130342, VAcc: 0.75
Sub-1, Epoch [50/500], TLoss_C: 1.341389, TLoss_P: 1.131113, TAcc: 0.9271, VLoss_C: 0.166059, VLoss_P: 0.115245, VAcc: 0.7569
Sub-1, Epoch [51/500], TLoss_C: 1.344051, TLoss_P: 1.158113, TAcc: 0.9201, VLoss_C: 0.159828, VLoss_P: 0.127716, VAcc: 0.7431
Sub-1, Epoch [52/500], TLoss_C: 1.231459, TLoss_P: 1.153485, TAcc: 0.9271, VLoss_C: 0.158416, VLoss_P: 0.120672, VAcc: 0.7639
Sub-1, Epoch [53/500], TLoss_C: 1.233568, TLoss_P: 1.2731, TAcc: 0.9201, VLoss_C: 0.148479, VLoss_P: 0.11466, VAcc: 0.7361
Sub-1, Epoch [54/500], TLoss_C: 1.227834, TLoss_P: 2.071583, TAcc: 0.9236, VLoss_C: 0.141067, VLoss_P: 0.129219, VAcc: 0.7153
Sub-1, Epoch [55/500], TLoss_C: 1.289626, TLoss_P: 1.247627, TAcc: 0.8993, VLoss_C: 0.172353, VLoss_P: 0.151253, VAcc: 0.691
Sub-1, Epoch [56/500], TLoss_C: 1.224915, TLoss_P: 1.163775, TAcc: 0.9132, VLoss_C: 0.158369, VLoss_P: 0.123941, VAcc: 0.7326
Sub-1, Epoch [57/500], TLoss_C: 1.24026, TLoss_P: 1.168032, TAcc: 0.9132, VLoss_C: 0.176954, VLoss_P: 0.131553, VAcc: 0.7569
Sub-1, Epoch [58/500], TLoss_C: 1.199993, TLoss_P: 1.233388, TAcc: 0.9271, VLoss_C: 0.162251, VLoss_P: 0.120648, VAcc: 0.7604
Sub-1, Epoch [59/500], TLoss_C: 1.198671, TLoss_P: 1.116596, TAcc: 0.9132, VLoss_C: 0.155928, VLoss_P: 0.134451, VAcc: 0.75
Sub-1, Epoch [60/500], TLoss_C: 1.177623, TLoss_P: 1.136628, TAcc: 0.9236, VLoss_C: 0.139124, VLoss_P: 0.100684, VAcc: 0.7569
Sub-1, Epoch [61/500], TLoss_C: 1.205586, TLoss_P: 1.0986, TAcc: 0.9236, VLoss_C: 0.153919, VLoss_P: 0.131555, VAcc: 0.7569
Sub-1, Epoch [62/500], TLoss_C: 1.143874, TLoss_P: 1.129031, TAcc: 0.9306, VLoss_C: 0.157629, VLoss_P: 0.128657, VAcc: 0.7465
Sub-1, Epoch [63/500], TLoss_C: 1.216327, TLoss_P: 1.054759, TAcc: 0.9583, VLoss_C: 0.162735, VLoss_P: 0.129667, VAcc: 0.7431
Sub-1, Epoch [64/500], TLoss_C: 1.145186, TLoss_P: 1.045011, TAcc: 0.9444, VLoss_C: 0.153331, VLoss_P: 0.119086, VAcc: 0.7465
